Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,21,26.1,57.6,7,77,630,7.0,14,9,23,12,2,2,9,0,11.9,10.3,6.5,16.8,153,293,2.0,1.29,3.29,1.71,3.0,1.7,0.93,2.63,1.47,2.41
Aston Villa,23,28.4,57.1,7,77,630,7.0,6,6,12,6,0,0,13,1,5.9,5.9,4.6,10.5,112,277,0.86,0.86,1.71,0.86,1.71,0.85,0.66,1.5,0.85,1.5
Bournemouth,23,25.9,50.9,7,77,630,7.0,11,9,20,10,1,1,16,0,8.4,7.6,6.1,13.7,123,267,1.57,1.29,2.86,1.43,2.71,1.19,0.87,2.07,1.08,1.95
Brentford,20,25.3,39.1,7,77,630,7.0,9,5,14,8,1,2,14,0,8.4,6.9,5.2,12.1,81,155,1.29,0.71,2.0,1.14,1.86,1.2,0.74,1.94,0.98,1.72
Brighton,20,26.1,47.0,7,77,630,7.0,10,7,17,8,2,3,22,0,11.2,8.9,7.4,16.3,122,237,1.43,1.0,2.43,1.14,2.14,1.6,1.06,2.66,1.27,2.33
Burnley,21,27.6,35.6,7,77,630,7.0,7,6,13,7,0,0,12,1,4.9,4.9,4.0,8.9,52,160,1.0,0.86,1.86,1.0,1.86,0.7,0.57,1.27,0.7,1.27
Chelsea,25,24.4,59.9,7,77,630,7.0,13,9,22,12,1,1,15,2,10.9,10.1,7.6,17.7,141,278,1.86,1.29,3.14,1.71,3.0,1.56,1.08,2.64,1.44,2.53
Crystal Palace,20,26.8,41.3,7,77,630,7.0,9,4,13,8,1,1,17,0,12.7,11.9,8.6,20.5,75,216,1.29,0.57,1.86,1.14,1.71,1.82,1.23,3.04,1.7,2.93
Everton,19,28.5,46.3,7,77,630,7.0,9,7,16,8,1,1,18,0,9.7,8.9,7.4,16.4,111,244,1.29,1.0,2.29,1.14,2.14,1.39,1.06,2.45,1.28,2.34
Fulham,21,28.0,50.6,7,77,630,7.0,6,5,11,6,0,0,16,0,7.3,7.3,5.9,13.2,131,250,0.86,0.71,1.57,0.86,1.57,1.04,0.85,1.89,1.04,1.89
Leeds United,21,27.0,45.3,7,77,630,7.0,7,2,9,6,1,1,10,0,7.6,6.9,4.8,11.7,96,207,1.0,0.29,1.29,0.86,1.14,1.09,0.69,1.77,0.99,1.67
Liverpool,22,27.1,61.6,7,77,630,7.0,13,9,22,12,1,1,15,0,10.9,10.2,8.8,19.0,173,337,1.86,1.29,3.14,1.71,3.0,1.56,1.26,2.81,1.45,2.71
Manchester City,22,25.6,57.0,7,77,630,7.0,13,11,24,13,0,0,10,0,12.1,12.1,10.5,22.6,168,269,1.86,1.57,3.43,1.86,3.43,1.73,1.5,3.22,1.73,3.22
Manchester Utd,20,26.3,53.0,7,77,630,7.0,7,4,11,6,1,3,8,1,13.6,11.2,8.1,19.4,148,290,1.0,0.57,1.57,0.86,1.43,1.94,1.16,3.1,1.61,2.77
Newcastle Utd,21,28.0,49.3,7,77,630,7.0,6,4,10,5,1,1,8,1,8.4,7.6,6.5,14.1,111,301,0.86,0.57,1.43,0.71,1.29,1.2,0.93,2.13,1.09,2.02
Nott'ham Forest,24,26.7,56.0,7,77,630,7.0,5,3,8,5,0,0,14,0,6.6,6.6,5.4,12.0,143,332,0.71,0.43,1.14,0.71,1.14,0.94,0.78,1.71,0.94,1.71
Sunderland,23,25.3,44.0,7,77,630,7.0,7,5,12,6,1,1,13,1,6.7,5.9,4.5,10.5,87,210,1.0,0.71,1.71,0.86,1.57,0.96,0.64,1.61,0.85,1.49
Tottenham,19,25.6,55.6,7,77,630,7.0,12,10,22,12,0,0,15,0,7.4,7.4,5.8,13.2,130,271,1.71,1.43,3.14,1.71,3.14,1.05,0.83,1.88,1.05,1.88
West Ham,24,27.3,46.0,7,77,630,7.0,6,4,10,5,1,1,10,1,6.6,5.8,5.0,10.8,84,222,0.86,0.57,1.43,0.71,1.29,0.94,0.72,1.66,0.83,1.55
Wolves,23,26.9,47.1,7,77,630,7.0,4,3,7,4,0,0,14,1,6.1,6.1,4.1,10.2,82,203,0.57,0.43,1.0,0.57,1.0,0.87,0.58,1.46,0.87,1.46
