Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,25.8,56.9,38,418,3420,38.0,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73
Aston Villa,28,27.0,50.5,38,418,3420,38.0,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.1,2.57,1.35,2.45
Bournemouth,29,25.1,48.5,38,418,3420,38.0,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,1.5,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69
Brentford,28,25.8,47.9,38,418,3420,38.0,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,1.71,1.16,2.87,1.58,2.74,1.55,1.12,2.67,1.43,2.55
Brighton,32,24.8,52.3,38,418,3420,38.0,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,1.68,1.08,2.76,1.5,2.58,1.54,1.06,2.61,1.4,2.47
Chelsea,29,23.7,57.1,38,418,3420,38.0,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,1.61,1.24,2.84,1.5,2.74,1.78,1.39,3.17,1.68,3.07
Crystal Palace,29,26.2,42.8,38,418,3420,38.0,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,1.29,1.0,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73
Everton,26,28.0,40.9,38,418,3420,38.0,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,1.03,0.71,1.74,0.97,1.68,1.1,0.85,1.95,1.06,1.91
Fulham,26,28.1,52.3,38,418,3420,38.0,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,1.39,1.16,2.55,1.32,2.47,1.29,0.99,2.28,1.21,2.2
Ipswich Town,32,25.8,40.6,38,418,3420,38.0,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,0.92,0.68,1.61,0.87,1.55,0.9,0.64,1.54,0.86,1.5
Leicester City,32,26.6,45.4,38,418,3420,38.0,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082,0.87,0.66,1.53,0.82,1.47,0.86,0.66,1.52,0.8,1.46
Liverpool,24,27.2,57.7,38,418,3420,38.0,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,826,1924,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6
Manchester City,30,26.8,61.3,38,418,3420,38.0,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944,1.87,1.34,3.21,1.79,3.13,1.79,1.43,3.22,1.71,3.13
Manchester Utd,31,25.5,53.5,38,418,3420,38.0,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448,1.11,0.76,1.87,1.0,1.76,1.38,1.04,2.43,1.3,2.35
Newcastle Utd,24,27.4,51.3,38,418,3420,38.0,66,50,116,61,5,6,68,1,63.8,59.5,46.0,105.5,759,1595,1.74,1.32,3.05,1.61,2.92,1.68,1.21,2.89,1.57,2.78
Nott'ham Forest,23,26.1,41.2,38,418,3420,38.0,57,42,99,54,3,3,90,2,45.5,43.2,33.0,76.2,633,1125,1.5,1.11,2.61,1.42,2.53,1.2,0.87,2.07,1.14,2.0
Southampton,36,25.2,48.5,38,418,3420,38.0,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47
Tottenham,31,25.0,54.7,38,418,3420,38.0,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593,1.61,1.24,2.84,1.53,2.76,1.55,1.17,2.72,1.47,2.63
West Ham,27,28.1,48.4,38,418,3420,38.0,43,29,72,40,3,3,82,3,47.0,44.7,33.9,78.6,632,1222,1.13,0.76,1.89,1.05,1.82,1.24,0.89,2.13,1.18,2.07
Wolves,32,26.9,48.1,38,418,3420,38.0,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185,1.39,1.11,2.5,1.39,2.5,1.15,0.93,2.08,1.15,2.08
