Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atalanta,32,38.0,1078,28.37,776,98,69,87,32,16,110,2.89,88,2,8,8,3,1
Bologna,36,38.0,777,20.45,599,71,26,41,34,6,76,2.0,59,7,2,5,3,0
Cagliari,33,38.0,742,19.53,521,86,25,63,34,13,61,1.61,43,5,2,5,5,1
Empoli,28,38.0,835,21.97,622,67,40,51,42,13,84,2.21,59,6,5,8,6,0
Fiorentina,28,38.0,908,23.89,655,85,40,60,59,9,99,2.61,67,3,4,13,9,3
Genoa,40,38.0,684,18.0,462,75,35,40,53,19,48,1.26,33,4,5,0,5,1
Hellas Verona,31,38.0,796,20.95,607,65,34,42,32,16,106,2.79,89,3,5,4,5,0
Inter,27,38.0,1184,31.16,885,104,44,93,37,21,149,3.92,114,12,4,14,5,0
Juventus,32,38.0,917,24.13,677,60,62,57,49,12,99,2.61,73,5,9,7,5,0
Lazio,27,38.0,798,21.0,610,55,40,42,41,10,128,3.37,82,11,12,12,9,2
Milan,28,38.0,1026,27.0,717,75,71,85,59,19,105,2.76,75,2,7,14,5,2
Napoli,27,38.0,1021,26.87,778,63,57,53,48,22,126,3.32,89,9,3,11,10,4
Roma,29,38.0,1031,27.13,695,110,60,93,56,17,94,2.47,54,9,9,13,9,0
Salernitana,42,38.0,739,19.45,500,85,35,55,54,10,58,1.53,33,7,3,8,7,0
Sampdoria,34,38.0,680,17.89,496,65,33,41,35,10,69,1.82,47,6,3,7,5,1
Sassuolo,29,38.0,1010,26.58,795,56,72,37,38,12,104,2.74,80,4,10,2,8,0
Spezia,30,38.0,663,17.45,469,59,45,40,38,12,61,1.61,39,4,3,9,3,3
Torino,31,38.0,827,21.76,589,92,35,61,41,9,74,1.95,50,3,6,9,5,1
Udinese,29,38.0,860,22.63,582,88,58,68,51,13,92,2.42,54,8,8,13,8,1
Venezia,39,38.0,617,16.24,440,56,30,31,46,14,57,1.5,41,4,1,5,6,0
