Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Augsburg,34,41.7,34.0,16607,2548,6859,6323,3604,574,16602,491,202,41.1,234,47.7,7744,41189,20165,331,241,70,490,266,8309,831
Bayern Munich,28,64.2,34.0,26741,2210,7657,12339,6998,1185,26736,912,466,51.1,362,39.7,17141,88991,44959,863,577,286,601,354,19261,2019
Bochum,26,46.1,34.0,17478,2270,6243,7442,3956,661,17475,420,175,41.7,195,46.4,7951,40250,18371,350,274,86,500,258,9060,1007
Dortmund,30,58.2,34.0,23758,2099,7166,10816,6011,944,23752,879,415,47.2,366,41.6,14458,75809,39242,783,514,205,483,356,16318,1614
Eint Frankfurt,28,52.9,34.0,21945,2034,6815,10478,4867,850,21939,695,292,42.0,331,47.6,12138,61277,31167,632,431,220,533,293,13832,1361
Freiburg,27,48.1,34.0,19068,2247,6546,8368,4296,723,19060,483,216,44.7,200,41.4,10112,53575,25969,427,297,108,444,240,11445,1027
Gladbach,27,53.7,34.0,22583,2744,8415,10217,4133,720,22577,548,240,43.8,226,41.2,13046,62465,31728,518,396,143,493,304,15408,1159
Hertha BSC,32,42.0,34.0,17023,2095,6263,7457,3531,612,17016,711,323,45.4,316,44.4,8139,43026,19959,413,269,132,521,301,8796,905
Hoffenheim,31,48.3,34.0,19434,2364,6926,8417,4271,705,19425,577,249,43.2,268,46.4,10627,53164,25890,457,330,138,551,258,11634,1168
Köln,27,49.9,34.0,20320,2232,7198,8697,4630,751,20316,521,226,43.4,236,45.3,11017,58246,28164,522,383,117,485,287,12123,1240
Leverkusen,27,52.0,34.0,21877,2184,7160,10575,4338,702,21870,714,352,49.3,268,37.5,12070,67165,36395,678,469,187,524,327,14558,1232
Mainz 05,27,44.8,34.0,18471,1946,6200,8219,4257,780,18465,495,224,45.3,220,44.4,9265,44936,20625,364,275,106,552,251,9946,1139
RB Leipzig,25,58.1,34.0,24322,2220,7782,11436,5327,834,24315,697,345,49.5,270,38.7,15273,73350,36506,599,440,168,525,316,16801,1437
Schalke 04,35,46.0,34.0,17260,2252,6541,7024,3912,677,17255,515,198,38.4,250,48.5,8384,42807,19961,415,295,66,513,274,9126,928
Stuttgart,30,50.2,34.0,20930,2407,7525,9226,4438,738,20925,734,337,45.9,319,43.5,11707,63068,31698,609,440,161,563,336,13345,1261
Union Berlin,28,43.8,34.0,17952,2108,6656,7246,4222,622,17945,415,182,43.9,180,43.4,9245,45321,21951,375,228,90,435,244,10177,990
Werder Bremen,25,49.3,34.0,20465,2390,7294,9382,3965,671,20459,516,233,45.2,228,44.2,10736,52169,25197,412,317,104,503,246,12329,1130
Wolfsburg,28,50.6,34.0,20053,2304,7013,8781,4423,694,20046,600,256,42.7,268,44.7,11350,55720,28117,455,301,103,560,272,12444,1294
