Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,29,38.0,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311
Aston Villa,24,38.0,16998,15004,1923,590,12,127,779,780,213,106,39,15,12940,71,275
Brighton,27,38.0,19871,18111,1708,404,17,164,686,769,219,71,107,2,15772,52,313
Burnley,25,38.0,15562,13737,1745,461,10,110,772,721,172,154,5,1,10825,80,263
Chelsea,27,38.0,25799,24055,1665,402,29,154,749,732,226,77,113,2,21969,79,362
Crystal Palace,24,38.0,15597,13707,1823,473,8,47,533,772,151,67,29,27,11627,67,351
Everton,29,38.0,18696,17021,1610,426,28,121,662,660,167,93,53,3,14792,65,362
Fulham,28,38.0,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346
Leeds United,23,38.0,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364
Leicester City,27,38.0,21216,19423,1722,474,35,92,649,738,212,61,85,5,17014,71,376
Liverpool,28,38.0,26226,24396,1765,409,44,156,862,811,257,51,147,2,21929,65,357
Manchester City,24,38.0,27167,25546,1564,423,38,146,632,656,247,73,86,4,23819,57,320
Manchester Utd,29,38.0,22624,20810,1738,433,34,211,640,760,197,83,87,4,18800,76,401
Newcastle Utd,27,38.0,14709,12864,1787,464,12,122,652,724,161,67,51,20,10839,58,321
Sheffield Utd,27,38.0,16264,14542,1649,347,13,115,666,750,170,118,29,4,12146,73,308
Southampton,29,38.0,19288,17388,1824,496,16,87,554,809,177,82,79,8,14928,76,343
Tottenham,24,38.0,20571,18738,1788,524,28,147,526,750,168,117,37,0,16508,45,361
West Brom,30,38.0,13978,12147,1756,463,13,105,604,727,144,75,21,16,9769,75,275
West Ham,24,38.0,16901,15140,1687,398,15,109,775,741,167,92,60,1,12725,74,357
Wolves,27,38.0,19225,17437,1751,444,20,141,775,735,208,65,70,3,15548,37,336
