Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,15,2,2,58,15,43,47,2.47,45.6,11.4,34.2,1.8,19,14,4,1,41,11,30,46,2.42,43.1,13.2,29.8,1.57
2,Liverpool,19,15,4,0,49,9,40,49,2.58,48.9,12.8,36.1,1.9,19,13,4,2,45,17,28,43,2.26,39.8,20.9,18.8,0.99
3,Chelsea,19,9,7,3,37,22,15,34,1.79,33.2,18.2,15.1,0.79,19,12,4,3,39,11,28,40,2.11,30.1,15.1,15.0,0.79
4,Tottenham,19,13,1,5,38,19,19,40,2.11,33.6,18.7,14.8,0.78,19,9,4,6,31,21,10,31,1.63,27.7,20.6,7.1,0.37
5,Arsenal,19,13,2,4,35,17,18,41,2.16,37.4,17.7,19.7,1.03,19,9,1,9,26,31,-5,28,1.47,23.2,27.9,-4.8,-0.25
6,Manchester Utd,19,10,5,4,32,22,10,35,1.84,30.6,20.8,9.9,0.52,19,6,5,8,25,35,-10,23,1.21,25.1,32.2,-7.1,-0.37
7,West Ham,19,9,5,5,33,26,7,32,1.68,28.0,21.6,6.4,0.34,19,7,3,9,27,25,2,24,1.26,23.4,31.9,-8.5,-0.45
8,Leicester City,19,10,4,5,34,23,11,34,1.79,26.1,28.4,-2.3,-0.12,19,4,6,9,28,36,-8,18,0.95,21.7,30.8,-9.2,-0.48
9,Brighton,19,5,7,7,19,23,-4,22,1.16,25.2,19.8,5.4,0.29,19,7,8,4,23,21,2,29,1.53,20.9,23.1,-2.1,-0.11
10,Wolves,19,7,3,9,20,25,-5,24,1.26,19.2,28.9,-9.7,-0.51,19,8,3,8,18,18,0,27,1.42,18.3,28.0,-9.8,-0.51
11,Newcastle Utd,19,8,6,5,26,27,-1,30,1.58,21.2,27.4,-6.2,-0.32,19,5,4,10,18,35,-17,19,1.0,16.9,29.8,-12.8,-0.68
12,Crystal Palace,19,7,8,4,27,17,10,29,1.53,28.2,17.0,11.2,0.59,19,4,7,8,23,29,-6,19,1.0,18.2,23.7,-5.5,-0.29
13,Brentford,19,7,3,9,22,21,1,24,1.26,25.4,20.5,4.9,0.26,19,6,4,9,26,35,-9,22,1.16,20.4,28.0,-7.6,-0.4
14,Aston Villa,19,6,5,8,29,29,0,23,1.21,23.6,24.5,-1.0,-0.05,19,7,1,11,23,25,-2,22,1.16,20.4,24.4,-4.0,-0.21
15,Southampton,19,6,7,6,23,24,-1,25,1.32,21.8,24.3,-2.5,-0.13,19,3,6,10,20,43,-23,15,0.79,23.0,35.7,-12.7,-0.67
16,Everton,19,9,2,8,27,25,2,29,1.53,23.6,22.6,1.0,0.05,19,2,4,13,16,41,-25,10,0.53,17.6,32.8,-15.2,-0.8
17,Leeds United,19,4,6,9,19,38,-19,18,0.95,25.2,31.6,-6.4,-0.34,19,5,5,9,23,41,-18,20,1.05,19.1,36.2,-17.1,-0.9
18,Burnley,19,5,6,8,18,25,-7,21,1.11,22.9,25.7,-2.9,-0.15,19,2,8,9,16,28,-12,14,0.74,16.9,31.4,-14.5,-0.76
19,Watford,19,2,2,15,17,46,-29,8,0.42,19.7,33.9,-14.2,-0.75,19,4,3,12,17,31,-14,15,0.79,20.3,30.6,-10.3,-0.54
20,Norwich City,19,3,3,13,12,43,-31,12,0.63,17.2,35.1,-17.8,-0.94,19,2,4,13,11,41,-30,10,0.53,15.1,40.4,-25.3,-1.33
