Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,30,38.0,499,292,263,181,55,197,565,34.9,368,341,90,251,428,927,766,8
Athletic Club,27,38.0,461,269,194,200,67,167,515,32.4,348,341,74,267,344,805,684,9
Atlético Madrid,25,38.0,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7
Barcelona,25,38.0,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16
Betis,25,38.0,556,314,274,220,62,211,556,37.9,345,361,74,287,452,1008,687,11
Cádiz,34,38.0,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8
Celta Vigo,30,38.0,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12
Eibar,30,38.0,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11
Elche,30,38.0,551,335,324,189,38,210,578,36.3,368,357,97,260,386,937,689,11
Getafe,31,38.0,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4
Granada,34,38.0,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7
Huesca,27,38.0,556,322,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7
Levante,29,38.0,512,283,268,189,55,208,543,38.3,335,336,94,242,432,944,680,15
Osasuna,28,38.0,524,281,223,217,84,224,552,40.6,328,349,100,249,392,916,774,7
Real Madrid,30,38.0,531,318,266,188,77,192,532,36.1,340,344,83,261,398,929,544,12
Real Sociedad,30,38.0,547,322,240,227,80,200,480,41.7,280,353,96,257,315,862,563,5
Sevilla,26,38.0,492,297,220,200,72,184,510,36.1,326,310,90,220,362,854,636,10
Valencia,30,38.0,463,277,241,163,59,198,592,33.4,394,372,123,249,392,855,785,12
Valladolid,32,38.0,559,321,285,208,66,247,681,36.3,434,379,102,277,431,990,812,9
Villarreal,29,38.0,539,313,256,205,78,239,588,40.6,349,358,101,257,371,910,638,17
