Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,29,53.5,38.0,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15532,83176,45081,758,499,195,511,260,17924,1748
Aston Villa,24,48.5,38.0,21115,2579,6975,8614,5759,947,21109,595,369,62.0,223,37.5,11290,60377,30666,629,463,226,579,337,12834,1403
Brighton,27,51.1,38.0,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73653,37608,685,468,131,549,306,15634,1495
Burnley,25,42.1,38.0,19392,2181,5794,9081,4684,699,19389,403,234,58.1,170,42.2,9239,46385,20946,389,340,75,503,278,10755,1002
Chelsea,27,60.9,38.0,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,895,663,243,585,286,21851,1787
Crystal Palace,24,40.6,38.0,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10227,56545,26885,526,388,151,596,402,11525,1113
Everton,29,46.4,38.0,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706,1177
Fulham,28,49.7,38.0,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13406,74278,37380,727,525,156,721,393,15290,1338
Leeds United,23,57.3,38.0,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154,1625
Leicester City,27,54.3,38.0,25366,2268,7924,11997,5675,772,25354,645,358,55.5,287,44.5,13991,72245,37072,666,481,141,549,322,16883,1455
Liverpool,28,62.1,38.0,30073,2075,7215,14867,8242,1211,30067,696,407,58.5,288,41.4,19103,96220,50778,886,754,249,592,387,21796,2041
Manchester City,24,63.5,38.0,30700,1912,6477,15960,8504,1196,30691,783,485,61.9,298,38.1,20039,106424,59443,1096,863,340,510,350,23640,2033
Manchester Utd,29,55.7,38.0,26617,2222,7609,11950,7323,921,26606,711,415,58.4,293,41.2,15481,88886,47495,877,666,201,536,360,18671,1817
Newcastle Utd,27,38.8,38.0,18774,2524,7166,7894,3941,552,18767,587,350,59.6,237,40.4,9605,51309,24707,467,376,114,519,297,10730,888
Sheffield Utd,27,41.7,38.0,20351,2314,6405,8599,5537,615,20347,475,269,56.6,207,43.6,10178,54344,27029,491,398,104,536,323,12037,1183
Southampton,29,52.0,38.0,23607,2302,7497,11566,4756,698,23601,601,343,57.1,258,42.9,12535,66172,33536,626,517,126,638,386,14818,1190
Tottenham,24,51.6,38.0,24670,2577,7991,11935,4997,700,24665,715,403,56.4,312,43.6,13842,73058,37183,633,506,152,519,334,16404,1316
West Brom,30,37.9,38.0,18248,2539,6670,7517,4238,578,18243,505,264,52.3,241,47.7,8262,44784,21527,441,283,103,613,313,9668,1017
West Ham,24,43.2,38.0,20812,2294,6638,9343,5062,761,20808,542,298,55.0,244,45.0,10964,63242,30419,659,455,152,491,318,12609,1264
Wolves,27,49.3,38.0,23262,2190,7247,11021,5207,695,23258,779,468,60.1,311,39.9,13271,72782,38571,800,566,177,592,309,15405,1266
