Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Almería,29,45.1,38.0,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10792,56990,29135,569,433,131,580,281,12047,1080
Athletic Club,26,51.6,38.0,22737,1978,6159,10166,6645,931,22730,734,347,47.3,305,41.6,12898,70963,39297,864,587,217,554,351,14284,1801
Atlético Madrid,27,50.6,38.0,24417,2414,7790,11103,5714,934,24415,656,322,49.1,262,39.9,13701,67344,35788,730,473,200,486,277,16706,1557
Barcelona,29,64.3,38.0,28424,2020,6759,14000,7894,1154,28422,803,396,49.3,321,40.0,18802,101072,55616,961,785,279,546,326,21144,2169
Betis,30,50.6,38.0,22482,2330,7276,10222,5226,718,22473,773,365,47.2,311,40.2,12640,63667,31076,621,492,156,564,353,14568,1259
Cádiz,38,41.9,38.0,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960
Celta Vigo,26,50.2,38.0,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393
Elche,32,45.5,38.0,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11273,60014,29395,561,408,107,577,345,11950,1185
Espanyol,33,43.1,38.0,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135
Getafe,25,39.9,38.0,17948,1980,5769,8366,3993,589,17940,456,217,47.6,189,41.4,8695,41814,20506,365,292,78,504,268,9605,989
Girona,29,51.3,38.0,22398,2619,7919,9753,4932,761,22389,728,341,46.8,311,42.7,13365,73974,38669,725,497,167,467,330,15020,1364
Mallorca,31,41.1,38.0,18171,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,50982,24564,476,341,94,498,302,10356,935
Osasuna,26,48.0,38.0,20888,2287,6397,9352,5331,709,20883,626,313,50.0,247,39.5,11200,58264,28888,545,416,128,590,316,12580,1338
Rayo Vallecano,28,51.2,38.0,21773,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,65376,33507,703,547,131,554,374,13384,1377
Real Madrid,26,60.9,38.0,28884,2415,7782,12859,8463,1151,28872,971,475,48.9,379,39.0,19026,100306,53191,1008,734,338,490,297,21956,2000
Real Sociedad,30,54.6,38.0,23231,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,70912,36738,692,499,187,607,368,15101,1463
Sevilla,35,52.6,38.0,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13544,67136,32550,558,520,122,515,312,15243,1497
Valencia,28,52.0,38.0,21620,2061,6446,9155,6255,822,21612,747,352,47.1,307,41.1,12240,69474,37665,786,630,165,555,338,13469,1457
Valladolid,36,48.7,38.0,20748,2571,7370,9027,4583,638,20744,718,309,43.0,318,44.3,11499,64338,32319,610,451,147,589,316,12521,1233
Villarreal,32,56.9,38.0,23818,2621,7659,10215,6181,911,23811,880,435,49.4,345,39.2,14393,81383,45453,846,570,239,552,343,16363,1617
