Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,2,38,38,3420,38.0,61,1.61,194,131,71.1,13,3,22,11,28.9,8,5,3,0,37.5
vs Aston Villa,3,38,38,3420,38.0,52,1.37,162,112,69.8,19,6,13,8,21.1,3,3,0,0,0.0
vs Brentford,3,38,38,3420,38.0,48,1.26,147,101,71.4,18,7,13,12,31.6,6,6,0,0,0.0
vs Brighton,2,38,38,3420,38.0,42,1.11,146,105,74.0,11,15,12,13,34.2,7,4,1,2,20.0
vs Burnley,2,38,38,3420,38.0,34,0.89,120,88,72.5,17,14,7,16,42.1,2,1,0,1,0.0
vs Chelsea,2,38,38,3420,38.0,76,2.0,209,133,67.5,6,11,21,4,10.5,9,8,1,0,11.1
vs Crystal Palace,2,38,38,3420,38.0,50,1.32,147,96,70.1,12,15,11,11,28.9,8,6,1,1,14.3
vs Everton,2,38,38,3420,38.0,43,1.13,136,94,72.8,21,6,11,12,31.6,7,6,0,1,0.0
vs Leeds United,2,38,38,3420,38.0,42,1.11,147,105,74.8,18,11,9,13,34.2,5,5,0,0,0.0
vs Leicester City,2,38,38,3420,38.0,62,1.63,166,104,63.9,14,10,14,6,15.8,2,2,0,0,0.0
vs Liverpool,2,38,38,3420,38.0,94,2.47,245,150,64.5,2,8,28,1,2.6,8,7,1,0,12.5
vs Manchester City,2,38,38,3420,38.0,99,2.61,246,148,62.6,3,6,29,4,10.5,9,7,2,0,22.2
vs Manchester Utd,1,38,38,3420,38.0,57,1.5,182,126,70.3,12,10,16,9,23.7,5,3,0,2,0.0
vs Newcastle Utd,3,38,38,3419,38.0,44,1.16,145,104,71.7,15,10,13,9,23.7,3,3,0,0,0.0
vs Norwich City,2,38,38,3420,38.0,23,0.61,107,86,81.3,26,7,5,22,57.9,3,3,0,0,0.0
vs Southampton,3,38,38,3420,38.0,43,1.13,165,124,76.4,16,13,9,9,23.7,4,4,0,0,0.0
vs Tottenham,1,38,38,3420,38.0,69,1.82,190,127,66.3,11,5,22,10,26.3,5,5,0,0,0.0
vs Watford,2,38,38,3420,38.0,34,0.89,125,91,73.6,27,5,6,18,47.4,2,1,1,0,50.0
vs West Ham,2,38,38,3420,38.0,60,1.58,148,88,62.2,14,8,16,8,21.1,6,4,2,0,33.3
vs Wolves,2,38,38,3420,38.0,38,1.0,134,99,72.4,17,6,15,16,42.1,1,1,0,0,0.0
