Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alavés,30,38.0,10217,14390,71.0,196749,86617,4465,5486,81.4,4015,5139,78.1,1482,2923,50.7,21,27.4,21.0,-6.4,256,789,189,82,939
Athletic Club,27,38.0,13577,17841,76.1,251118,91439,5872,6901,85.1,5484,6607,83.0,1791,3120,57.4,31,31.0,27.9,0.0,303,1054,284,79,1496
Atlético Madrid,25,38.0,16757,20680,81.0,276506,95008,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6,54,40.6,38.8,13.4,347,1144,370,53,1604
Barcelona,25,38.0,25192,28488,88.4,384110,119170,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9,51,53.2,63.6,-2.2,452,1874,517,52,2157
Betis,25,38.0,15816,19679,80.4,273427,94370,7406,8310,89.1,6094,7035,86.6,1673,3002,55.7,35,33.4,30.5,1.6,335,1048,297,80,1442
Cádiz,34,38.0,7949,12067,65.9,158876,72248,3244,4091,79.3,3064,4071,75.3,1319,2992,44.1,16,20.4,16.9,-4.4,196,653,152,73,854
Celta Vigo,30,38.0,15176,19318,78.6,263065,91357,6912,7946,87.0,6117,7188,85.1,1552,2914,53.3,39,36.7,32.0,2.3,267,978,248,48,1308
Eibar,30,38.0,11810,16890,69.9,234607,92605,4840,5844,82.8,4584,5965,76.8,2002,4026,49.7,20,29.9,28.5,-9.9,309,1119,254,118,1295
Elche,30,38.0,13481,17054,79.0,244141,94274,6024,6751,89.2,5311,6194,85.7,1653,3001,55.1,25,21.8,19.8,3.2,190,785,148,79,929
Getafe,31,38.0,8977,13863,64.8,170990,76315,4043,5155,78.4,3111,4340,71.7,1417,3219,44.0,14,23.6,24.0,-9.6,261,863,225,102,1090
Granada,34,38.0,9083,13336,68.1,173761,74249,3915,4776,82.0,3574,4629,77.2,1288,2951,43.6,30,26.8,22.6,3.2,224,813,173,58,975
Huesca,27,38.0,13511,17483,77.3,250957,87960,5695,6489,87.8,5786,6819,84.9,1679,3199,52.5,23,26.6,25.3,-3.6,295,898,221,113,1185
Levante,29,38.0,14189,18113,78.3,256983,95961,6357,7201,88.3,5757,6801,84.6,1695,3077,55.1,35,29.6,30.0,5.4,286,1087,306,83,1537
Osasuna,28,38.0,10233,15031,68.1,201352,91555,4401,5541,79.4,3869,5149,75.1,1649,3329,49.5,25,24.9,27.9,0.1,259,968,261,101,1220
Real Madrid,30,38.0,20652,24119,85.6,352965,111437,9790,10620,92.2,7728,8593,89.9,2214,3224,68.7,53,47.4,48.8,5.6,438,1525,401,77,1920
Real Sociedad,30,38.0,14915,18995,78.5,264692,91984,6592,7589,86.9,6282,7368,85.3,1582,2840,55.7,39,39.6,39.7,-0.6,308,1100,343,64,1554
Sevilla,26,38.0,19248,22873,84.2,342985,106478,8654,9471,91.4,7775,8720,89.2,2190,3442,63.6,36,41.0,40.1,-5.0,387,1234,346,122,1627
Valencia,30,38.0,12755,16480,77.4,241622,89245,5332,6142,86.8,5304,6236,85.1,1735,3073,56.5,35,27.2,24.8,7.8,283,926,239,62,1180
Valladolid,32,38.0,11145,15385,72.4,206105,80260,4972,5863,84.8,4299,5283,81.4,1489,3187,46.7,21,24.2,25.7,-3.2,263,873,213,90,1101
Villarreal,29,38.0,17508,21129,82.9,305401,104843,8074,8963,90.1,7097,8015,88.5,1788,2857,62.6,33,40.5,40.7,-7.5,317,1175,358,81,1628
