Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atalanta,30,38.0,1115,29.34,866,68,60,61,43,17,162,4.26,127,8,10,9,5,3
Benevento,29,38.0,686,18.05,486,66,36,52,36,10,66,1.74,43,8,3,5,5,2
Bologna,37,38.0,862,22.68,629,72,48,52,43,18,83,2.18,62,6,1,8,5,1
Cagliari,32,38.0,730,19.21,521,72,38,54,35,10,75,1.97,52,4,4,10,5,0
Crotone,31,38.0,623,16.39,433,53,56,29,41,11,75,1.97,44,6,9,5,8,3
Fiorentina,30,38.0,655,17.24,472,71,29,26,50,7,77,2.03,53,5,4,6,9,0
Genoa,34,38.0,585,15.39,439,38,38,35,22,13,73,1.92,55,3,5,6,2,2
Hellas Verona,32,38.0,682,17.95,485,75,33,34,47,8,71,1.87,54,3,6,3,4,1
Inter,25,38.0,985,25.92,754,76,44,55,38,18,150,3.95,114,6,8,12,8,2
Juventus,30,38.0,1061,27.92,777,86,74,68,46,10,134,3.53,94,4,13,14,6,3
Lazio,30,38.0,937,24.66,733,53,47,55,33,16,103,2.71,75,1,8,9,9,1
Milan,29,38.0,983,25.87,684,86,54,75,75,9,129,3.39,85,11,5,10,15,3
Napoli,25,38.0,1119,29.45,834,67,74,69,53,22,142,3.74,90,6,18,12,13,3
Parma,42,38.0,696,18.32,495,60,51,38,42,10,70,1.84,51,4,6,3,6,0
Roma,31,38.0,911,23.97,663,70,60,69,31,18,121,3.18,90,8,10,6,6,1
Sampdoria,27,38.0,717,18.87,503,73,31,53,38,19,85,2.24,57,7,7,9,5,0
Sassuolo,28,38.0,951,25.03,705,61,66,53,53,13,109,2.87,71,5,7,9,14,3
Spezia,35,38.0,664,17.47,488,55,33,47,29,12,88,2.32,57,8,3,12,6,2
Torino,29,38.0,794,20.89,503,84,48,70,74,15,80,2.11,45,8,5,13,8,1
Udinese,33,38.0,706,18.58,509,53,44,42,44,14,67,1.76,45,3,9,5,5,0
