Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,13,2,4,43,17,26,41,2.16,37.2,14.9,22.3,1.18,19,14,3,2,40,15,25,45,2.37,31.0,15.3,15.7,0.83
2,Manchester Utd,19,9,4,6,38,28,10,31,1.63,31.2,22.3,8.9,0.47,19,12,7,0,35,16,19,43,2.26,28.9,19.1,9.7,0.51
3,Liverpool,19,10,3,6,29,20,9,33,1.74,31.5,21.1,10.4,0.55,19,10,6,3,39,22,17,36,1.89,36.0,21.8,14.1,0.74
4,Chelsea,19,9,6,4,31,18,13,33,1.74,34.1,15.2,18.9,0.99,19,10,4,5,27,18,9,34,1.79,28.3,15.1,13.2,0.7
5,Leicester City,19,9,1,9,34,30,4,28,1.47,28.2,25.6,2.7,0.14,19,11,5,3,34,20,14,38,2.0,27.6,20.4,7.2,0.38
6,West Ham,19,10,4,5,32,22,10,34,1.79,24.7,24.9,-0.2,-0.01,19,9,4,6,30,25,5,31,1.63,30.7,23.8,6.9,0.36
7,Tottenham,19,10,3,6,35,20,15,33,1.74,29.6,21.8,7.8,0.41,19,8,5,6,33,25,8,29,1.53,23.5,27.3,-3.8,-0.2
8,Arsenal,19,8,4,7,24,21,3,28,1.47,23.0,23.2,-0.2,-0.01,19,10,3,6,31,18,13,33,1.74,28.8,19.8,9.0,0.47
9,Leeds United,19,8,5,6,28,21,7,29,1.53,30.6,22.9,7.7,0.41,19,10,0,9,34,33,1,30,1.58,25.0,35.0,-10.0,-0.52
10,Everton,19,6,4,9,24,28,-4,22,1.16,23.3,25.1,-1.8,-0.1,19,11,4,4,23,20,3,37,1.95,22.4,25.0,-2.6,-0.14
11,Aston Villa,19,7,4,8,29,27,2,25,1.32,27.9,25.9,2.0,0.11,19,9,3,7,26,19,7,30,1.58,24.6,25.2,-0.6,-0.03
12,Newcastle Utd,19,6,5,8,26,33,-7,23,1.21,26.5,24.7,1.8,0.1,19,6,4,9,20,29,-9,22,1.16,16.9,33.6,-16.7,-0.88
13,Wolves,19,7,4,8,21,25,-4,25,1.32,19.9,20.6,-0.7,-0.04,19,5,5,9,15,27,-12,20,1.05,16.6,28.9,-12.3,-0.65
14,Crystal Palace,19,6,5,8,20,32,-12,23,1.21,15.8,28.1,-12.3,-0.65,19,6,3,10,21,34,-13,21,1.11,18.3,30.1,-11.8,-0.62
15,Southampton,19,8,3,8,28,25,3,27,1.42,21.0,22.3,-1.3,-0.07,19,4,4,11,19,43,-24,16,0.84,20.3,30.7,-10.5,-0.55
16,Brighton,19,4,9,6,22,22,0,21,1.11,30.6,14.2,16.4,0.86,19,5,5,9,18,24,-6,20,1.05,20.2,21.1,-0.8,-0.04
17,Burnley,19,4,6,9,14,27,-13,18,0.95,20.5,27.3,-6.8,-0.36,19,6,3,10,19,28,-9,21,1.11,18.8,27.3,-8.6,-0.45
18,Fulham,19,2,4,13,9,28,-19,10,0.53,18.7,25.9,-7.2,-0.38,19,3,9,7,18,25,-7,18,0.95,21.8,26.7,-4.9,-0.26
19,West Brom,19,3,6,10,15,39,-24,15,0.79,18.5,35.4,-16.9,-0.89,19,2,5,12,20,37,-17,11,0.58,17.4,32.5,-15.1,-0.8
20,Sheffield Utd,19,5,1,13,12,27,-15,16,0.84,17.9,30.2,-12.4,-0.65,19,2,1,16,8,36,-28,7,0.37,14.8,32.0,-17.2,-0.91
