Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Atlético Madrid,19,15,3,1,41,11,30,48,2.53,29.6,17.8,11.8,0.62,19,11,5,3,26,14,12,38,2.0,23.2,19.3,3.9,0.21
2,Real Madrid,19,13,3,3,33,13,20,42,2.21,28.6,16.1,12.5,0.66,19,12,6,1,34,15,19,42,2.21,32.9,21.5,11.4,0.6
3,Barcelona,19,11,5,3,44,20,24,38,2.0,40.0,21.2,18.8,0.99,19,13,2,4,41,18,23,41,2.16,33.5,19.6,13.9,0.73
4,Sevilla,19,14,1,4,27,11,16,43,2.26,27.5,16.2,11.3,0.6,19,10,4,5,26,22,4,34,1.79,26.9,18.6,8.3,0.44
5,Real Sociedad,19,9,6,4,34,21,13,33,1.74,35.7,19.0,16.6,0.88,19,8,5,6,25,17,8,29,1.53,25.1,20.1,4.9,0.26
6,Betis,19,10,5,4,27,21,6,35,1.84,25.6,22.2,3.4,0.18,19,7,5,7,23,29,-6,26,1.37,23.5,24.6,-1.1,-0.06
7,Villarreal,19,8,6,5,29,23,6,30,1.58,30.8,18.9,11.8,0.62,19,7,7,5,31,21,10,28,1.47,25.6,23.6,2.1,0.11
8,Celta Vigo,19,9,3,7,30,30,0,30,1.58,29.7,25.0,4.6,0.24,19,5,8,6,25,27,-2,23,1.21,20.7,26.0,-5.3,-0.28
9,Granada,19,9,4,6,25,25,0,31,1.63,20.6,20.2,0.4,0.02,19,4,3,12,22,40,-18,15,0.79,20.5,36.0,-15.4,-0.81
10,Athletic Club,19,8,6,5,29,19,10,30,1.58,26.2,16.2,10.1,0.53,19,3,7,9,17,23,-6,16,0.84,16.6,21.3,-4.8,-0.25
11,Osasuna,19,7,5,7,21,23,-2,26,1.37,19.2,23.6,-4.5,-0.23,19,4,6,9,16,25,-9,18,0.95,19.6,24.1,-4.6,-0.24
12,Cádiz,19,5,5,9,17,30,-13,20,1.05,17.7,25.8,-8.1,-0.43,19,6,6,7,19,28,-9,24,1.26,17.0,29.5,-12.5,-0.66
13,Valencia,19,8,7,4,34,23,11,31,1.63,25.1,28.0,-2.8,-0.15,19,2,6,11,16,30,-14,12,0.63,17.4,24.2,-6.8,-0.36
14,Levante,19,5,9,5,27,30,-3,24,1.26,22.5,24.4,-1.9,-0.1,19,4,5,10,19,27,-8,17,0.89,18.0,29.1,-11.1,-0.59
15,Getafe,19,6,6,7,15,13,2,24,1.26,16.9,15.9,1.1,0.06,19,3,5,11,13,30,-17,14,0.74,17.5,24.5,-7.0,-0.37
16,Alavés,19,6,6,7,21,25,-4,24,1.26,23.7,23.0,0.7,0.04,19,3,5,11,15,32,-17,14,0.74,18.9,26.9,-8.0,-0.42
17,Elche,19,5,8,6,18,23,-5,23,1.21,16.0,30.0,-14.0,-0.74,19,3,4,12,16,32,-16,13,0.68,13.9,30.9,-17.0,-0.89
18,Huesca,19,5,7,7,17,21,-4,22,1.16,20.0,21.9,-1.8,-0.1,19,2,6,11,17,32,-15,12,0.63,18.7,26.2,-7.6,-0.4
19,Valladolid,19,3,7,9,19,30,-11,16,0.84,24.3,25.9,-1.6,-0.09,19,2,9,8,15,27,-12,15,0.79,15.8,27.0,-11.2,-0.59
20,Eibar,19,2,7,10,12,21,-9,13,0.68,22.2,16.9,5.3,0.28,19,4,5,10,17,31,-14,17,0.89,23.0,28.8,-5.7,-0.3
