Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-07,Ligue 1,Away,Lens,2,3,L
2022-08-14,Ligue 1,Home,Marseille,1,1,D
2022-08-21,Ligue 1,Away,Angers,3,1,W
2022-08-28,Ligue 1,Home,Montpellier,0,7,L
2022-08-31,Ligue 1,Away,Rennes,1,3,L
2022-09-04,Ligue 1,Home,Strasbourg,1,1,D
2022-09-10,Ligue 1,Away,Paris S-G,0,1,L
2022-09-18,Ligue 1,Home,Ajaccio,0,1,L
2022-10-02,Ligue 1,Away,Auxerre,1,1,D
2022-10-09,Ligue 1,Home,Lorient,1,2,L
2022-10-16,Ligue 1,Away,Nantes,1,4,L
2022-10-23,Ligue 1,Away,Clermont Foot,3,1,W
2022-10-30,Ligue 1,Home,Reims,0,0,D
2022-11-06,Ligue 1,Away,Nice,0,1,L
2022-11-13,Ligue 1,Home,Troyes,2,1,W
2022-12-28,Ligue 1,Home,Lyon,2,4,L
2023-01-01,Ligue 1,Away,Monaco,0,1,L
2023-01-11,Ligue 1,Home,Lille,0,0,D
2023-01-15,Ligue 1,Away,Toulouse,1,1,D
2023-01-29,Ligue 1,Home,Angers,4,0,W
2023-02-01,Ligue 1,Away,Lyon,0,0,D
2023-02-05,Ligue 1,Home,Lens,1,1,D
2023-02-12,Ligue 1,Away,Montpellier,0,3,L
2023-02-19,Ligue 1,Home,Monaco,1,2,L
2023-02-24,Ligue 1,Away,Lille,1,2,L
2023-03-05,Ligue 1,Away,Strasbourg,1,0,W
2023-03-11,Ligue 1,Home,Paris S-G,1,2,L
2023-03-19,Ligue 1,Away,Troyes,2,2,D
2023-04-02,Ligue 1,Home,Toulouse,3,1,W
2023-04-09,Ligue 1,Away,Reims,1,1,D
2023-04-16,Ligue 1,Home,Nice,1,0,W
2023-04-23,Ligue 1,Away,Ajaccio,0,0,D
2023-05-03,Ligue 1,Home,Nantes,2,0,W
2023-05-07,Ligue 1,Away,Lorient,1,2,L
2023-05-14,Ligue 1,Home,Auxerre,1,0,W
2023-05-21,Ligue 1,Home,Clermont Foot,2,1,W
2023-05-27,Ligue 1,Away,Marseille,2,1,W
2023-06-03,Ligue 1,Home,Rennes,1,2,L
