Date,Comp,venue,opponent,goals_for,goals_against,result
2020-08-23,Ligue 1,Away,Lorient,1,3,L
2020-08-29,Ligue 1,Home,Nice,0,2,L
2020-09-12,Ligue 1,Away,Saint-Étienne,0,2,L
2020-09-20,Ligue 1,Home,Dijon,1,0,W
2020-09-27,Ligue 1,Away,Monaco,2,3,L
2020-10-04,Ligue 1,Home,Lille,0,3,L
2020-10-18,Ligue 1,Home,Lyon,2,3,L
2020-10-25,Ligue 1,Away,Brest,3,0,W
2020-11-01,Ligue 1,Away,Reims,1,2,L
2020-11-06,Ligue 1,Home,Marseille,0,1,L
2020-11-22,Ligue 1,Away,Montpellier,3,4,L
2020-11-27,Ligue 1,Home,Rennes,1,1,D
2020-12-06,Ligue 1,Away,Nantes,4,0,W
2020-12-13,Ligue 1,Home,Metz,2,2,D
2020-12-16,Ligue 1,Away,Angers,2,0,W
2020-12-20,Ligue 1,Home,Bordeaux,0,2,L
2020-12-23,Ligue 1,Away,Paris S-G,0,4,L
2021-01-06,Ligue 1,Home,Nîmes,5,0,W
2021-01-09,Ligue 1,Away,Lens,1,0,W
2021-01-17,Ligue 1,Home,Saint-Étienne,1,0,W
2021-01-24,Ligue 1,Away,Dijon,1,1,D
2021-01-31,Ligue 1,Home,Reims,0,1,L
2021-02-03,Ligue 1,Home,Brest,2,2,D
2021-02-06,Ligue 1,Away,Lyon,0,3,L
2021-02-14,Ligue 1,Away,Metz,2,1,W
2021-02-21,Ligue 1,Home,Angers,0,0,D
2021-02-28,Ligue 1,Away,Lille,1,1,D
2021-03-03,Ligue 1,Home,Monaco,1,0,W
2021-03-14,Ligue 1,Away,Rennes,0,1,L
2021-03-21,Ligue 1,Home,Lens,1,2,L
2021-04-04,Ligue 1,Away,Bordeaux,3,2,W
2021-04-10,Ligue 1,Home,Paris S-G,1,4,L
2021-04-18,Ligue 1,Away,Nîmes,1,1,D
2021-04-25,Ligue 1,Home,Nantes,1,2,L
2021-04-30,Ligue 1,Away,Marseille,1,1,D
2021-05-09,Ligue 1,Home,Montpellier,2,3,L
2021-05-16,Ligue 1,Away,Nice,2,0,W
2021-05-23,Ligue 1,Home,Lorient,1,1,D
