Date,Comp,venue,opponent,goals_for,goals_against,result
2020-08-23,Ligue 1,Away,Monaco,2,2,D
2020-08-30,Ligue 1,Home,Lille,0,1,L
2020-09-13,Ligue 1,Away,Angers,0,1,L
2020-09-20,Ligue 1,Away,Metz,1,2,L
2020-09-27,Ligue 1,Home,Paris S-G,0,2,L
2020-10-04,Ligue 1,Away,Rennes,2,2,D
2020-10-17,Ligue 1,Home,Lorient,1,3,L
2020-10-25,Ligue 1,Away,Montpellier,4,0,W
2020-11-01,Ligue 1,Home,Strasbourg,2,1,W
2020-11-08,Ligue 1,Away,Lens,4,4,D
2020-11-22,Ligue 1,Home,Nîmes,0,1,L
2020-11-29,Ligue 1,Away,Lyon,0,3,L
2020-12-06,Ligue 1,Home,Nice,0,0,D
2020-12-13,Ligue 1,Away,Brest,1,2,L
2020-12-16,Ligue 1,Home,Nantes,3,2,W
2020-12-19,Ligue 1,Away,Marseille,1,1,D
2020-12-23,Ligue 1,Away,Bordeaux,3,1,W
2021-01-06,Ligue 1,Home,Dijon,0,0,D
2021-01-09,Ligue 1,Home,Saint-Étienne,3,1,W
2021-01-17,Ligue 1,Away,Lille,1,2,L
2021-01-24,Ligue 1,Home,Brest,1,0,W
2021-01-31,Ligue 1,Away,Strasbourg,1,0,W
2021-02-03,Ligue 1,Home,Angers,0,0,D
2021-02-06,Ligue 1,Away,Lorient,0,1,L
2021-02-13,Ligue 1,Home,Lens,1,1,D
2021-02-20,Ligue 1,Away,Saint-Étienne,1,1,D
2021-02-28,Ligue 1,Home,Montpellier,0,0,D
2021-03-03,Ligue 1,Away,Nantes,2,1,W
2021-03-12,Ligue 1,Home,Lyon,1,1,D
2021-03-21,Ligue 1,Away,Dijon,1,0,W
2021-04-04,Ligue 1,Home,Rennes,2,2,D
2021-04-11,Ligue 1,Away,Nice,0,0,D
2021-04-18,Ligue 1,Home,Metz,0,0,D
2021-04-23,Ligue 1,Home,Marseille,1,3,L
2021-05-02,Ligue 1,Away,Nîmes,2,2,D
2021-05-09,Ligue 1,Home,Monaco,0,1,L
2021-05-16,Ligue 1,Away,Paris S-G,0,4,L
2021-05-23,Ligue 1,Home,Bordeaux,1,2,L
