Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-06,15:00,Premier League,Matchweek 1,Sat,Away,L,1,2,Leeds United,1.3,0.8,60,36347,Rúben Neves,4-2-3-1,4-2-3-1,Robert Jones,Match Report,
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,D,0,0,Fulham,0.9,1.5,59,31178,Rúben Neves,4-2-3-1,4-2-3-1,John Brooks,Match Report,
2022-08-20,12:30,Premier League,Matchweek 3,Sat,Away,L,0,1,Tottenham,0.7,1.7,50,61298,Rúben Neves,3-5-2,3-4-3,Simon Hooper,Match Report,
2022-08-23,19:45,EFL Cup,Second round,Tue,Home,W,2,1,Preston,,,65,21946,Max Kilman,4-3-3,3-1-4-2,Thomas Bramall,Match Report,
2022-08-28,14:00,Premier League,Matchweek 4,Sun,Home,D,1,1,Newcastle Utd,0.7,1.7,37,31311,Rúben Neves,4-3-3,4-3-3,Peter Bankes,Match Report,
2022-08-31,19:30,Premier League,Matchweek 5,Wed,Away,D,0,0,Bournemouth,1.5,0.4,65,10113,Rúben Neves,4-3-3,4-4-2,Anthony Taylor,Match Report,
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,W,1,0,Southampton,0.8,1.2,51,30546,Rúben Neves,4-3-3,4-2-3-1,John Brooks,Match Report,
2022-09-17,12:30,Premier League,Matchweek 8,Sat,Home,L,0,3,Manchester City,0.4,1.1,41,31578,Rúben Neves,4-3-3,4-3-3,Anthony Taylor,Match Report,
2022-10-01,17:30,Premier League,Matchweek 9,Sat,Away,L,0,2,West Ham,0.7,0.9,61,62444,Rúben Neves,3-4-3,4-2-3-1,Paul Tierney,Match Report,
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Away,L,0,3,Chelsea,1.1,1.9,43,39940,João Moutinho,4-2-3-1,4-2-3-1,Simon Hooper,Match Report,
2022-10-15,15:00,Premier League,Matchweek 11,Sat,Home,W,1,0,Nott'ham Forest,1.3,1.5,58,31554,Rúben Neves,4-2-3-1,4-3-3,Thomas Bramall,Match Report,
2022-10-18,20:15,Premier League,Matchweek 12,Tue,Away,L,1,2,Crystal Palace,0.8,1.2,49,25125,Rúben Neves,4-2-3-1,4-3-3,David Coote,Match Report,
2022-10-23,14:00,Premier League,Matchweek 13,Sun,Home,L,0,4,Leicester City,2.1,0.9,60,31425,Rúben Neves,4-2-3-1,4-1-4-1,Michael Oliver,Match Report,
2022-10-29,15:00,Premier League,Matchweek 14,Sat,Away,D,1,1,Brentford,0.6,1.4,42,17051,Rúben Neves,4-2-3-1,4-3-3,Robert Madley,Match Report,
2022-11-05,15:00,Premier League,Matchweek 15,Sat,Home,L,2,3,Brighton,1.2,1.5,29,30732,Rúben Neves,4-3-3,4-2-3-1,Graham Scott,Match Report,
2022-11-09,19:45,EFL Cup,Third round,Wed,Home,W,1,0,Leeds United,,,48,24246,Rúben Neves,4-3-3,4-2-3-1,Andre Marriner,Match Report,
2022-11-12,19:45,Premier League,Matchweek 16,Sat,Home,L,0,2,Arsenal,0.7,2.1,38,34624,João Moutinho,5-3-2,4-3-3,Stuart Attwell,Match Report,
2022-12-20,19:45,EFL Cup,Fourth round,Tue,Home,W,2,0,Gillingham,,,80,26943,Rúben Neves,4-3-3,5-4-1,Michael Salisbury,Match Report,
2022-12-26,15:00,Premier League,Matchweek 17,Mon,Away,W,2,1,Everton,0.8,1.7,42,39252,Rúben Neves,4-3-3,4-3-3,Craig Pawson,Match Report,
2022-12-31,12:30,Premier League,Matchweek 18,Sat,Home,L,0,1,Manchester Utd,0.7,2.0,46,31658,Rúben Neves,4-2-3-1,4-2-3-1,Robert Jones,Match Report,
2023-01-04,20:00,Premier League,Matchweek 19,Wed,Away,D,1,1,Aston Villa,0.9,1.8,44,39978,Rúben Neves,4-2-3-1,4-4-2,Jarred Gillett,Match Report,
2023-01-07,20:00,FA Cup,Third round proper,Sat,Away,D,2,2,Liverpool,,,36,52636,Rúben Neves,4-4-2,4-3-3,Andy Madley,Match Report,
2023-01-11,19:45,EFL Cup,Quarter-finals,Wed,Away,D,1 (3),1 (4),Nott'ham Forest,,,65,28656,João Moutinho,3-4-3,4-3-1-2,Graham Scott,Match Report,Nott'ham Forest won on penalty kicks following extra time
2023-01-14,15:00,Premier League,Matchweek 20,Sat,Home,W,1,0,West Ham,0.9,1.1,58,31511,Rúben Neves,4-2-3-1,4-3-3,Simon Hooper,Match Report,
2023-01-17,19:45,FA Cup,Third round proper,Tue,Home,L,0,1,Liverpool,,,58,30948,Rúben Neves,4-2-3-1,4-3-3,Andre Marriner,Match Report,
2023-01-22,14:00,Premier League,Matchweek 21,Sun,Away,L,0,3,Manchester City,0.8,2.8,45,53282,Rúben Neves,4-3-3,3-2-4-1,David Coote,Match Report,
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Home,W,3,0,Liverpool,2.0,1.8,41,31664,Rúben Neves,4-4-2,4-3-3,Paul Tierney,Match Report,
2023-02-11,15:00,Premier League,Matchweek 23,Sat,Away,W,2,1,Southampton,0.8,1.1,59,29751,Rúben Neves,4-2-3-1,5-3-2,Jarred Gillett,Match Report,
2023-02-18,15:00,Premier League,Matchweek 24,Sat,Home,L,0,1,Bournemouth,1.3,1.1,68,31222,Rúben Neves,4-2-3-1,4-2-3-1,Michael Salisbury,Match Report,
2023-02-24,20:00,Premier League,Matchweek 25,Fri,Away,D,1,1,Fulham,0.8,0.5,49,24399,Rúben Neves,4-4-2,4-2-3-1,Michael Oliver,Match Report,
2023-03-01,20:00,Premier League,Matchweek 7,Wed,Away,L,0,2,Liverpool,0.8,2.6,43,53259,Rúben Neves,4-2-3-1,4-3-3,Paul Tierney,Match Report,
2023-03-04,15:00,Premier League,Matchweek 26,Sat,Home,W,1,0,Tottenham,0.5,1.2,46,31585,Rúben Neves,4-2-3-1,3-4-3,Tim Robinson,Match Report,
2023-03-12,16:30,Premier League,Matchweek 27,Sun,Away,L,1,2,Newcastle Utd,1.1,1.8,57,52240,Rúben Neves,4-2-3-1,4-3-3,Andy Madley,Match Report,
