Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-17,Ligue 1,Home,Lorient,1.0,0.0,W
2025-08-23,Ligue 1,Away,Nice,1.0,3.0,L
2025-08-30,Ligue 1,Away,Nantes,0.0,1.0,L
2025-09-13,Ligue 1,Home,Monaco,1.0,2.0,L
2025-09-21,Ligue 1,Home,Toulouse,1.0,0.0,W
2025-09-27,Ligue 1,Away,Paris S-G,0.0,2.0,L
2025-10-04,Ligue 1,Home,Lens,1.0,2.0,L
2025-10-19,Ligue 1,Away,Rennes,,,
2025-10-26,Ligue 1,Home,Le Havre,,,
2025-10-29,Ligue 1,Away,Strasbourg,,,
2025-11-01,Ligue 1,Home,Marseille,,,
2025-11-09,Ligue 1,Away,Angers,,,
2025-11-23,Ligue 1,Home,Lyon,,,
2025-11-29,Ligue 1,Away,Paris FC,,,
2025-12-07,Ligue 1,Home,Metz,,,
2025-12-14,Ligue 1,Home,Lille,,,
2026-01-04,Ligue 1,Away,Brest,,,
2026-01-18,Ligue 1,Away,Lens,,,
2026-01-25,Ligue 1,Home,Paris S-G,,,
2026-02-01,Ligue 1,Away,Toulouse,,,
2026-02-08,Ligue 1,Home,Paris FC,,,
2026-02-15,Ligue 1,Away,Metz,,,
2026-02-22,Ligue 1,Home,Rennes,,,
2026-03-01,Ligue 1,Away,Lorient,,,
2026-03-08,Ligue 1,Home,Strasbourg,,,
2026-03-15,Ligue 1,Away,Marseille,,,
2026-03-22,Ligue 1,Home,Brest,,,
2026-04-05,Ligue 1,Away,Le Havre,,,
2026-04-12,Ligue 1,Home,Nantes,,,
2026-04-19,Ligue 1,Away,Monaco,,,
2026-04-26,Ligue 1,Away,Lyon,,,
2026-05-03,Ligue 1,Home,Angers,,,
2026-05-09,Ligue 1,Home,Nice,,,
2026-05-16,Ligue 1,Away,Lille,,,
