Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-23,Serie A,Home,Napoli,0.0,2.0,L
2025-08-29,Serie A,Away,Cremonese,2.0,3.0,L
2025-09-14,Serie A,Home,Lazio,1.0,0.0,W
2025-09-21,Serie A,Away,Inter,1.0,2.0,L
2025-09-28,Serie A,Home,Udinese,3.0,1.0,W
2025-10-03,Serie A,Away,Hellas Verona,1.0,0.0,W
2025-10-18,Serie A,Away,Lecce,,,
2025-10-26,Serie A,Home,Roma,,,
2025-10-30,Serie A,Away,Cagliari,,,
2025-11-03,Serie A,Home,Genoa,,,
2025-11-09,Serie A,Away,Atalanta,,,
2025-11-24,Serie A,Home,Pisa,,,
2025-11-28,Serie A,Away,Como,,,
2025-12-06,Serie A,Home,Fiorentina,,,
2025-12-14,Serie A,Away,Milan,,,
2025-12-21,Serie A,Home,Torino,,,
2025-12-28,Serie A,Away,Bologna,,,
2026-01-03,Serie A,Home,Parma,,,
2026-01-06,Serie A,Home,Juventus,,,
2026-01-10,Serie A,Away,Roma,,,
2026-01-17,Serie A,Away,Napoli,,,
2026-01-25,Serie A,Home,Cremonese,,,
2026-02-01,Serie A,Away,Pisa,,,
2026-02-08,Serie A,Home,Inter,,,
2026-02-15,Serie A,Away,Udinese,,,
2026-02-22,Serie A,Home,Hellas Verona,,,
2026-03-01,Serie A,Home,Atalanta,,,
2026-03-08,Serie A,Away,Lazio,,,
2026-03-15,Serie A,Home,Bologna,,,
2026-03-22,Serie A,Away,Juventus,,,
2026-04-04,Serie A,Home,Cagliari,,,
2026-04-12,Serie A,Away,Genoa,,,
2026-04-19,Serie A,Home,Como,,,
2026-04-26,Serie A,Away,Fiorentina,,,
2026-05-03,Serie A,Home,Milan,,,
2026-05-10,Serie A,Away,Torino,,,
2026-05-17,Serie A,Home,Lecce,,,
2026-05-24,Serie A,Away,Parma,,,
