Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-24,Serie A,Home,Lazio,2.0,0.0,W
2025-08-30,Serie A,Away,Bologna,0.0,1.0,L
2025-09-15,Serie A,Home,Genoa,1.0,1.0,D
2025-09-21,Serie A,Away,Fiorentina,2.0,1.0,W
2025-09-27,Serie A,Home,Cremonese,1.0,1.0,D
2025-10-04,Serie A,Away,Atalanta,1.0,1.0,D
2025-10-19,Serie A,Home,Juventus,,,
2025-10-25,Serie A,Away,Parma,,,
2025-10-29,Serie A,Home,Hellas Verona,,,
2025-11-01,Serie A,Away,Napoli,,,
2025-11-08,Serie A,Home,Cagliari,,,
2025-11-24,Serie A,Away,Torino,,,
2025-11-28,Serie A,Home,Sassuolo,,,
2025-12-06,Serie A,Away,Inter,,,
2025-12-15,Serie A,Away,Roma,,,
2025-12-27,Serie A,Away,Lecce,,,
2026-01-03,Serie A,Home,Udinese,,,
2026-01-06,Serie A,Away,Pisa,,,
2026-01-10,Serie A,Home,Bologna,,,
2026-01-15,Serie A,Home,Milan,,,
2026-01-19,Serie A,Away,Lazio,,,
2026-01-24,Serie A,Home,Torino,,,
2026-02-01,Serie A,Home,Atalanta,,,
2026-02-08,Serie A,Away,Milan,,,
2026-02-15,Serie A,Home,Fiorentina,,,
2026-02-22,Serie A,Away,Juventus,,,
2026-03-01,Serie A,Home,Lecce,,,
2026-03-08,Serie A,Away,Cagliari,,,
2026-03-15,Serie A,Home,Roma,,,
2026-03-22,Serie A,Home,Pisa,,,
2026-04-04,Serie A,Away,Udinese,,,
2026-04-12,Serie A,Home,Inter,,,
2026-04-19,Serie A,Away,Sassuolo,,,
2026-04-26,Serie A,Away,Genoa,,,
2026-05-03,Serie A,Home,Napoli,,,
2026-05-10,Serie A,Away,Hellas Verona,,,
2026-05-17,Serie A,Home,Parma,,,
2026-05-24,Serie A,Away,Cremonese,,,
