Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-16,Ligue 1,Away,Nice,1.0,0.0,W
2025-08-24,Ligue 1,Home,Brest,2.0,0.0,W
2025-08-30,Ligue 1,Home,Paris S-G,3.0,6.0,L
2025-09-14,Ligue 1,Away,Lille,1.0,2.0,L
2025-09-21,Ligue 1,Away,Auxerre,0.0,1.0,L
2025-09-27,Ligue 1,Home,Nantes,2.0,2.0,D
2025-10-05,Ligue 1,Away,Lyon,2.0,1.0,W
2025-10-19,Ligue 1,Home,Metz,,,
2025-10-25,Ligue 1,Away,Monaco,,,
2025-10-29,Ligue 1,Home,Rennes,,,
2025-11-02,Ligue 1,Home,Le Havre,,,
2025-11-09,Ligue 1,Away,Lorient,,,
2025-11-23,Ligue 1,Home,Angers,,,
2025-11-29,Ligue 1,Away,Marseille,,,
2025-12-06,Ligue 1,Home,Strasbourg,,,
2025-12-13,Ligue 1,Away,Paris FC,,,
2026-01-04,Ligue 1,Home,Lens,,,
2026-01-18,Ligue 1,Home,Nice,,,
2026-01-25,Ligue 1,Away,Brest,,,
2026-02-01,Ligue 1,Home,Auxerre,,,
2026-02-08,Ligue 1,Away,Angers,,,
2026-02-15,Ligue 1,Away,Le Havre,,,
2026-02-22,Ligue 1,Home,Paris FC,,,
2026-03-01,Ligue 1,Away,Rennes,,,
2026-03-08,Ligue 1,Home,Marseille,,,
2026-03-15,Ligue 1,Away,Metz,,,
2026-03-22,Ligue 1,Home,Lorient,,,
2026-04-05,Ligue 1,Away,Paris S-G,,,
2026-04-12,Ligue 1,Home,Lille,,,
2026-04-19,Ligue 1,Away,Lens,,,
2026-04-26,Ligue 1,Home,Monaco,,,
2026-05-03,Ligue 1,Away,Strasbourg,,,
2026-05-09,Ligue 1,Home,Lyon,,,
2026-05-16,Ligue 1,Away,Nantes,,,
