Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-17,Ligue 1,Away,Metz,1.0,0.0,W
2025-08-24,Ligue 1,Home,Nantes,1.0,0.0,W
2025-08-31,Ligue 1,Away,Monaco,2.0,3.0,L
2025-09-14,Ligue 1,Home,Le Havre,1.0,0.0,W
2025-09-21,Ligue 1,Away,Paris FC,3.0,2.0,W
2025-09-26,Ligue 1,Home,Marseille,1.0,2.0,L
2025-10-05,Ligue 1,Home,Angers,5.0,0.0,W
2025-10-17,Ligue 1,Away,Paris S-G,3.0,3.0,D
2025-10-26,Ligue 1,Away,Lyon,,,
2025-10-29,Ligue 1,Home,Auxerre,,,
2025-11-02,Ligue 1,Away,Rennes,,,
2025-11-09,Ligue 1,Home,Lille,,,
2025-11-22,Ligue 1,Away,Lens,,,
2025-11-30,Ligue 1,Home,Brest,,,
2025-12-06,Ligue 1,Away,Toulouse,,,
2025-12-14,Ligue 1,Home,Lorient,,,
2026-01-04,Ligue 1,Away,Nice,,,
2026-01-18,Ligue 1,Home,Metz,,,
2026-01-25,Ligue 1,Away,Lille,,,
2026-02-01,Ligue 1,Home,Paris S-G,,,
2026-02-08,Ligue 1,Away,Le Havre,,,
2026-02-15,Ligue 1,Away,Marseille,,,
2026-02-22,Ligue 1,Home,Lyon,,,
2026-03-01,Ligue 1,Home,Lens,,,
2026-03-08,Ligue 1,Away,Auxerre,,,
2026-03-15,Ligue 1,Home,Paris FC,,,
2026-03-22,Ligue 1,Away,Nantes,,,
2026-04-05,Ligue 1,Home,Nice,,,
2026-04-12,Ligue 1,Away,Brest,,,
2026-04-19,Ligue 1,Home,Rennes,,,
2026-04-26,Ligue 1,Away,Lorient,,,
2026-05-03,Ligue 1,Home,Toulouse,,,
2026-05-09,Ligue 1,Away,Angers,,,
2026-05-16,Ligue 1,Home,Monaco,,,
